date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,updatedFromDate,fiscalDateEnding
2025-10-29,AAPL,,,amc,,,2024-12-09,2025-09-28
2025-07-30,AAPL,,,amc,,,2024-12-09,2025-06-28
2025-04-30,AAPL,,,amc,,,2024-12-09,2025-03-28
2025-02-06,AAPL,,2.36,amc,,,2024-12-09,2024-12-28
2024-10-31,AAPL,1.64,1.6,amc,94930000000.0,94511953345.0,2024-12-09,2024-09-28
2024-08-01,AAPL,1.4,1.35,amc,85777000000.0,84432539529.0,2024-11-25,2024-06-29
2024-05-02,AAPL,1.53,1.5,amc,90753000000.0,90366105851.0,2024-11-25,2024-03-30
2024-02-01,AAPL,2.18,2.1,amc,119575000000.0,117986596460.0,2024-11-25,2023-12-30
2023-11-02,AAPL,1.46,1.39,amc,89498000000.0,84175800000.0,2024-11-25,2023-09-30
2023-08-03,AAPL,1.26,1.19,amc,81797000000.0,81685700000.0,2024-11-25,2023-07-01
2023-05-04,AAPL,1.52,1.43,amc,94836000000.0,92960200000.0,2024-11-25,2023-04-01
2023-02-02,AAPL,1.88,1.94,amc,117154000000.0,121333299852.0,2024-11-25,2022-12-31
2022-10-27,AAPL,1.29,1.27,amc,90146000000.0,88739279089.0,2024-11-25,2022-09-24
2022-07-28,AAPL,1.2,1.16,amc,82959000000.0,82791243730.0,2024-11-25,2022-06-25
2022-04-28,AAPL,1.52,1.43,amc,97278000000.0,94033796672.0,2024-11-25,2022-03-26
2022-01-27,AAPL,2.1,1.89,amc,123945000000.0,119002502550.0,2024-11-25,2021-12-25
2021-10-28,AAPL,1.24,1.24,amc,83360000000.0,117986000000.0,2024-11-25,2021-09-25
2021-07-27,AAPL,1.3,1.01,amc,81434000000.0,84581900000.0,2024-11-25,2021-06-26
2021-04-28,AAPL,1.4,0.99,amc,89584000000.0,76920700000.0,2024-11-25,2021-03-27
2021-01-27,AAPL,1.68,1.41,amc,111439000000.0,90099617021.0,2024-11-25,2020-12-26
2020-10-29,AAPL,0.73,0.7,amc,64698000000.0,62039178082.0,2024-11-25,2020-09-26
2020-07-30,AAPL,0.65,0.51,amc,59685000000.0,46829769230.0,2024-11-25,2020-06-27
2020-04-30,AAPL,0.64,0.57,amc,58313000000.0,51023875000.0,2024-11-25,2020-03-28
2020-01-28,AAPL,1.25,1.14,amc,91819000000.0,83738928000.0,2024-11-25,2019-12-28
2019-10-30,AAPL,0.76,0.71,amc,64040000000.0,59826842105.0,2024-11-25,2019-09-28
2019-07-30,AAPL,0.55,0.52,amc,53809000000.0,51852309090.0,2024-11-25,2019-06-29
2019-04-30,AAPL,0.62,0.59,amc,58015000000.0,55207822580.0,2024-11-25,2019-03-30
2019-01-29,AAPL,1.05,1.04,amc,84310000000.0,83507047619.0,2024-11-25,2018-12-29
2018-11-01,AAPL,0.73,0.7,amc,62900000000.0,60315068493.0,2024-11-25,2018-09-29
2018-07-31,AAPL,0.59,0.55,amc,53265000000.0,49622948717.0,2024-11-25,2018-06-30
2018-05-01,AAPL,0.68,0.67,amc,61137000000.0,59793329670.0,2024-11-25,2018-03-31
2018-02-01,AAPL,0.97,0.96,amc,88293000000.0,87612077120.0,2024-11-25,2017-12-30
2017-11-02,AAPL,0.52,0.47,amc,52579000000.0,47498903381.0,2024-11-25,2017-09-30
2017-08-01,AAPL,0.42,0.39,amc,45408000000.0,42688958083.0,2024-11-25,2017-07-01
2017-05-02,AAPL,0.53,0.5,amc,52896000000.0,50880914285.0,2024-11-25,2017-04-01
2017-01-31,AAPL,0.84,0.8,amc,78351000000.0,74853187500.0,2024-11-25,2016-12-31
2016-10-25,AAPL,0.42,0.41,amc,46852000000.0,46571449101.0,2024-11-25,2016-09-24
2016-07-26,AAPL,0.36,0.35,amc,42358000000.0,41164816901.0,2024-11-25,2016-06-25
2016-04-26,AAPL,0.48,0.5,amc,50557000000.0,53217894736.0,2024-11-25,2016-03-26
2016-01-26,AAPL,0.82,0.81,amc,75872000000.0,74715414634.0,2024-11-25,2015-12-26
2015-10-27,AAPL,0.49,0.47,amc,51501000000.0,49398918367.0,2024-11-25,2015-09-26
2015-07-21,AAPL,0.46,0.45,amc,49605000000.0,48532459459.0,2024-11-25,2015-06-27
2015-04-27,AAPL,0.58,0.54,amc,58010000000.0,53777510729.0,2024-11-25,2015-03-28
2015-01-27,AAPL,0.77,0.65,amc,74599000000.0,63384771241.0,2024-11-25,2014-12-27
2014-10-20,AAPL,0.36,0.33,amc,42123000000.0,38859950704.0,2024-11-25,2014-09-27
2014-07-22,AAPL,0.32,0.31,amc,37432000000.0,35969812500.0,2024-11-25,2014-06-28
2014-04-23,AAPL,0.42,0.36,amc,45646000000.0,40146481927.0,2024-11-25,2014-03-29
2014-01-27,AAPL,0.52,0.5,amc,57594000000.0,55924608695.0,2024-11-25,2013-12-28
2013-10-28,AAPL,0.3,0.28,amc,37472000000.0,36201762711.0,2024-11-25,2013-09-28
2013-07-23,AAPL,0.27,0.26,amc,35323000000.0,34662757009.0,2024-11-25,2013-06-29
2025-10-28,ABBV,,,bmo,,,2024-12-08,2025-09-30
2025-07-23,ABBV,,,bmo,,,2024-12-08,2025-06-30
2025-04-24,ABBV,,,bmo,,,2024-12-08,2025-03-30
2025-02-07,ABBV,,2.99,bmo,,,2024-12-08,2024-12-30
2024-10-30,ABBV,3.0,2.92,bmo,14460000000.0,14282327431.0,2024-12-08,2024-09-30
2024-07-25,ABBV,2.65,2.57,bmo,14462000000.0,14021791242.0,2024-11-21,2024-06-30
2024-04-26,ABBV,2.31,2.26,bmo,12310000000.0,11929722730.0,2024-11-21,2024-03-31
2024-02-02,ABBV,2.79,2.76,bmo,14301000000.0,12977400000.0,2024-11-21,2023-12-31
2023-10-27,ABBV,2.95,2.86,bmo,13927000000.0,13671600000.0,2024-11-21,2023-09-30
2023-07-27,ABBV,2.91,2.79,bmo,13865000000.0,13516800000.0,2024-11-21,2023-06-30
2023-04-27,ABBV,2.46,2.44,bmo,12225000000.0,12167900000.0,2024-11-21,2023-03-31
2023-02-09,ABBV,3.6,3.54,bmo,15121000000.0,15331214906.0,2024-11-21,2022-12-31
2022-10-28,ABBV,3.66,3.56,bmo,14812000000.0,14960037499.0,2024-11-21,2022-09-30
2022-07-29,ABBV,3.37,3.31,bmo,14583000000.0,14664877978.0,2024-11-21,2022-06-30
2022-04-29,ABBV,3.24,3.14,bmo,13538000000.0,13612857615.0,2024-11-21,2022-03-31
2022-02-02,ABBV,3.31,3.29,bmo,14886000000.0,14951129423.0,2024-11-21,2021-12-31
2021-10-29,ABBV,3.33,3.23,bmo,14342000000.0,14353400000.0,2024-11-21,2021-09-30
2021-07-30,ABBV,3.11,3.11,bmo,13959000000.0,13959000000.0,2024-11-21,2021-06-30
2021-04-30,ABBV,2.95,2.77,bmo,13010000000.0,12808000000.0,2024-11-21,2021-03-31
2021-02-03,ABBV,2.92,2.85,bmo,13858000000.0,13726400000.0,2024-11-21,2020-12-31
2020-10-30,ABBV,2.83,2.75,bmo,12902000000.0,12628459363.0,2024-11-21,2020-09-30
2020-07-31,ABBV,2.34,2.24,bmo,10425000000.0,9756730769.0,2024-11-21,2020-06-30
2020-05-01,ABBV,2.42,2.25,bmo,8619000000.0,8013533057.0,2024-11-21,2020-03-31
2020-02-07,ABBV,2.21,2.19,bmo,8704000000.0,8625230769.0,2024-11-21,2019-12-31
2019-11-01,ABBV,2.33,2.29,bmo,8479000000.0,8369828326.0,2024-11-21,2019-09-30
2019-07-26,ABBV,2.26,2.21,bmo,8255000000.0,8072367256.0,2024-11-21,2019-06-30
2019-04-25,ABBV,2.14,2.05,bmo,7828000000.0,7498785046.0,2024-11-21,2019-03-31
2019-01-25,ABBV,1.9,1.92,bmo,8305000000.0,8479842105.0,2024-11-21,2018-12-31
2018-11-02,ABBV,2.14,2.02,bmo,8236000000.0,7774168224.0,2024-11-21,2018-09-30
2018-07-27,ABBV,2.0,1.98,bmo,8278000000.0,8153830000.0,2024-11-21,2018-06-30
2018-04-26,ABBV,1.87,1.79,bmo,7934000000.0,7594577540.0,2024-11-21,2018-03-31
2018-01-26,ABBV,1.48,1.44,bmo,7739000000.0,7529837837.0,2024-11-21,2017-12-31
2017-10-27,ABBV,1.41,1.39,bmo,6995000000.0,6895780141.0,2024-11-21,2017-09-30
2017-07-28,ABBV,1.42,1.4,bmo,6944000000.0,6846197183.0,2024-11-21,2017-06-30
2017-04-27,ABBV,1.28,1.26,bmo,6538000000.0,6435843750.0,2024-11-21,2017-03-31
2017-01-27,ABBV,1.2,1.2,bmo,6796000000.0,6796000000.0,2024-11-21,2016-12-31
2016-10-28,ABBV,1.21,1.2,bmo,6432000000.0,6378842975.0,2024-11-21,2016-09-30
2016-07-29,ABBV,1.26,1.2,bmo,6452000000.0,6144761904.0,2024-11-21,2016-06-30
2016-04-28,ABBV,1.15,1.12,bmo,5958000000.0,5854382608.0,2024-11-21,2016-03-31
2016-01-29,ABBV,1.13,1.12,bmo,6400000000.0,6343362831.0,2024-11-21,2015-12-31
2015-10-30,ABBV,1.13,1.07,bmo,5944000000.0,5680991150.0,2024-11-21,2015-09-30
2015-07-24,ABBV,1.08,1.06,bmo,5475000000.0,5373611111.0,2024-11-21,2015-06-30
2015-04-23,ABBV,0.94,0.84,bmo,5040000000.0,4557446808.0,2024-11-21,2015-03-31
2015-01-30,ABBV,0.89,0.85,bmo,5452000000.0,5268224719.0,2024-11-21,2014-12-31
