symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
NVDA,2024-10-27,140.52,24533000000,3447377160000.0005,9107000000,10225000000,3448495160000
NVDA,2024-07-28,111.59,24578000000,2742659020000.0,8563000000,10015000000,2744111020000
NVDA,2024-04-28,87.76,24620000000,2160651200000.0002,7587000000,10991000000,2164055200000
NVDA,2024-01-28,62.47,24660000000,1540510200000.0,7280000000,11056000000,1544286200000
NVDA,2023-10-29,41.16,24680000000,1015828799999.9999,5519000000,11027000000,1021336799999
NVDA,2023-07-30,46.73,24730000000,1155632900000.0,5783000000,10954000000,1160803900000
NVDA,2023-04-30,28.91,24700000000,714077000000.0,5079000000,12080000000,721078000000
NVDA,2023-01-29,19.16,24640000000,472102400000.0,3389000000,11855000000,480568400000
NVDA,2022-10-30,13.5,24830000000,335205000000.0,2800000000,10950000000,343355000000
NVDA,2022-07-31,18.44,24950000000,460078000000.00006,3013000000,11692000000,468757000000
NVDA,2022-05-01,19.53,25060000000,489421800000.0,3887000000,11699000000,497233800000
NVDA,2022-01-30,24.49,25040000000,613229600000.0,1990000000,11687000000,622926600000
NVDA,2021-10-31,25.83,24990000000,645491700000.0,1288000000,11687000000,655890700000
NVDA,2021-08-01,19.75,24930000000,492367500000.0,5628000000,12659000000,499398500000
NVDA,2021-05-02,14.84,24840000000,368625600000.0,978000000,7738000000,375385600000
NVDA,2021-01-31,13.24,24760000000,327822400000.0,847000000,7597000000,334572400000
NVDA,2020-10-25,13.14,24720000000,324820800000.0,2251000000,7565000000,330134800000
NVDA,2020-07-26,10.42,24640000000,256748800000.0,3274000000,7695000000,261169800000
NVDA,2020-04-26,7.43,24560000000,182480800000.0,15494000000,7578000000,174564800000
NVDA,2020-01-26,6.01,24480000000,147124800000.0,10896000000,2552000000,138780800000
NVDA,2019-10-27,5.17,24400000000,126148000000.0,9765000000,2548000000,118931000000
NVDA,2019-07-28,4.37,24360000000,106453200000.0,7105000000,2556000000,101904200000
NVDA,2019-04-28,4.48,24280000000,108774400000.00002,2772000000,2554000000,108556400000
NVDA,2019-01-27,3.45,24360000000,84042000000.0,782000000,1988000000,85248000000
NVDA,2018-10-28,4.64,24360000000,113030399999.99998,721000000,1990000000,114299399999
