symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
A,"Agilent Technologies, Inc.",139.28,-0.2149,-0.3,136.7,139.595,155.35,124.16,40.01904384,137.63,138.60745,NYSE,1249386.0,1691150.0,138.81,139.58,4.42,31.51,2025-02-25T05:00:00.000+0000,287328000.0,1733259602
AA,Alcoa Corporation,45.9,0.4376,0.2,45.5101,46.75,47.77,23.8,11.8584945,41.6914,36.6378,NYSE,2207294.0,5084965.0,46.65,45.7,-1.56,-29.42,2025-01-15T10:59:00.000+0000,258355000.0,1733259602
AAC,Ares Acquisition Corporation,10.79,0.1857,0.02,10.77,10.79,10.8,9.0052,0.761820462,10.6859,10.494325,NYSE,599704.0,134092.0,10.77,10.77,-0.1,-107.9,2023-03-31T00:00:00.000+0000,70604306.0,1699304402
AACT,Ares Acquisition Corporation II,10.93,0.0,0.0,10.9101,10.94,11.0,10.37,0.683125011,10.86126,10.707725,NYSE,15136.0,159371.0,10.94,10.93,0.44,24.84,2025-02-26T21:00:00.000+0000,62500001.0,1733259602
AACT-UN,Ares Acquisition Corporation II,11.09,2.1179,0.23,11.09,11.09,11.39,10.43,0.704105098,10.947598,10.766825,NYSE,101.0,1399.0,11.09,10.86,,,2025-02-26T21:00:00.000+0000,63490090.0,1733236200
AAC-UN,Ares Acquisition Corporation,10.81,0.3714,0.04,10.78,10.81,10.96,9.78,0.60854895,10.7816,10.617481,NYSE,983.0,1241.0,10.78,10.77,0.1,108.1,2023-03-31T00:00:00.000+0000,56295000.0,1699302772
AAC-WT,Ares Acquisition Corporation Re,0.63,-3.0769,-0.02,0.63,0.67,0.67,0.63,0.761820462,0.0,0.0,NYSE,30243.0,0.0,0.63,0.65,0.0,0.0,2023-03-31T00:00:00.000+0000,1209238828.0,1698694719
AAIC,Arlington Asset Investment Corp.,4.84,1.4675,0.07,4.69,4.84,4.84,2.53,0.137081868,4.4814,3.9513,NYSE,341106.0,164371.0,4.79,4.77,-0.08,-60.5,2023-11-13T00:00:00.000+0000,28322700.0,1702501202
AAIC-PB,Arlington Asset Investment Corp.,20.3001,-4.1091,-0.8699,20.01,20.5,22.46,17.02,0.137081866,20.140772,19.209269,NYSE,4472.0,1115.0,20.495,21.17,-0.293,-69.28361774744027,2023-03-31T00:00:00.000+0000,6752768.0,1702500447
AAIC-PC,Arlington Asset Investment Corp.,24.55,-0.4057,-0.1,24.4,24.6,24.99,19.85,0.137081848,23.992588,22.914646,NYSE,19575.0,3326.0,24.4,24.65,-0.293,-83.78839590443685,2023-03-31T00:00:00.000+0000,5583782.0,1702501108
AAIN,Arlington Asset Investment Corp,23.5,-0.4237,-0.1,23.5,23.51,24.49,22.016,0.0,23.5244,23.45187,NYSE,650.0,3009.0,23.51,23.56,0.0,0.0,2023-03-31T00:00:00.000+0000,0.0,1704488313
AAM-PA,"Apollo Global Management, Inc.",25.04,0.04,0.01,25.01,25.04,25.5114,20.28,8.756114178,24.41428,23.701336,NYSE,35863.0,29590.0,25.01,25.03,0.622,40.257234726688104,2023-11-06T00:00:00.000+0000,349685071.0,1695326402
AAM-PB,"Apollo Global Management, Inc.",25.04,0.12,0.03,25.01,25.04,25.58,20.2275,8.756114178,24.53097,23.811968,NYSE,15079.0,18281.0,25.01,25.01,0.622,40.257234726688104,,349685071.0,1695326402
AAN,"The Aaron's Company, Inc.",10.09,1.001,0.1,10.08,10.1,11.9,6.622,0.318347572,10.04,9.10985,NYSE,2775856.0,1062724.0,10.08,9.99,-1.39,-7.258992805755396,2024-10-21T00:00:00.000+0000,31550800.0,1727985735
AAP,"Advance Auto Parts, Inc.",42.64,0.0939,0.04,41.53,42.86,88.56,35.59,2.54707908,39.1734,58.8945,NYSE,1659472.0,2911619.0,42.45,42.6,0.79,53.97,2025-02-26T05:00:00.000+0000,59734500.0,1733259602
AAQC,Accelerate Acquisition Corp.,10.115,0.0,0.0,10.14,10.14,10.29,9.68,0.0,9.968,9.826174,NYSE,97.0,192287.0,10.1897,10.08,0.37,27.33783783783784,,0.0,1671040813
AAQC-UN,Accelerate Acquisition Corp.,10.1,0.0,0.0,10.08,10.165,10.175,9.61,0.0,9.969278,9.86922,NYSE,0.0,30417.0,10.08,10.07,0.093,108.60215053763442,,0.0,1671045400
AAQC-WT,Accelerate Acquisition Corp.,0.0057,-84.9604,0.0057,0.0056,0.0409,0.0409,0.0056,0.0,0.0,0.0,NYSE,61045.0,0.0,0.0409,0.0379,0.0,0.0,,0.0,1668531834
AAT,"American Assets Trust, Inc.",28.22,-0.5988,-0.17,28.12,28.43,29.15,20.03,1.718643152,27.3472,24.01735,NYSE,188236.0,227819.0,28.43,28.39,0.97,29.09,2025-02-04T05:00:00.000+0000,60901600.0,1733259602
AB,AllianceBernstein Holding L.P.,35.85,-1.4839,-0.54,35.85,36.67,38.96,28.02,4.06305975,36.3554,34.39115,NYSE,270926.0,272231.0,36.38,36.39,3.48,10.3,2025-02-04T05:00:00.000+0000,113335000.0,1733259602
ABB,ABB Ltd,37.13,0.0,0.0,37.12,37.57,37.76,24.27,69.020585106,35.5362,31.7979,NYSE,6388230.0,1657499.0,37.51,37.56,1.57,23.64968152866242,2023-07-20T04:00:00.000+0000,1858889984.0,1684785601
ABBV,AbbVie Inc.,181.5,-0.1485,-0.27,181.48,183.51,207.32,142.66,320.73591,188.189,179.03876,NYSE,2867159.0,5800850.0,182.28,181.77,2.87,63.24,2025-01-31T14:30:00.000+0000,1767140000.0,1733259602
ABC,AmerisourceBergen Corporation,179.98,-0.2273,-0.41,179.24,180.93,194.79,136.07,36.14970292,181.9946,172.18205,NYSE,806054.0,1642573.0,180.93,180.39,8.21,21.922046285018272,2023-11-01T00:00:00.000+0000,200854000.0,1693339201
ABE,Aberdeen Emerging Markets Compa,,,,,,,,0.0,0.0,0.0,NYSE,0.0,0.0,,,,0.0,,0.0,1561759658
ABEV,Ambev S.A.,2.31,5.4795,0.12,2.21,2.31,3.0,2.01,36.332184633,2.2754,2.3003,NYSE,33758557.0,25677722.0,2.22,2.19,0.15,15.4,2025-02-26T11:30:00.000+0000,15728218456.0,1733259602
ABG,"Asbury Automotive Group, Inc.",265.35,0.1245,0.33,262.465,265.59,277.13,195.09,5.197543125,240.9884,231.0645,NYSE,272277.0,208774.0,265.59,265.02,17.81,14.9,2025-02-06T13:30:00.000+0000,19587500.0,1733259602
ABM,ABM Industries Incorporated,56.25,-2.5974,-1.5,56.03,57.76,59.78,39.64,3.532010625,54.1974,49.72915,NYSE,210288.0,504787.0,57.73,57.75,2.42,23.24,2024-12-11T13:30:00.000+0000,62791300.0,1733259602
ABR,"Arbor Realty Trust, Inc.",14.14,-2.8179,-0.41,14.13,14.57,16.35,11.92,2.66693126,15.082,13.8487,NYSE,3139870.0,2432880.0,14.51,14.55,1.33,10.63,2025-02-14T13:30:00.000+0000,188609000.0,1733259602
